
DAY: 0, GasOnDestination: 0.9315245478036179%, SatisfiedDestination:0.96%
DAY: 66, GasOnDestination: 0.9282515073212751%, SatisfiedDestination:0.96%
DAY: 67, GasOnDestination: 0.9282515073212751%, SatisfiedDestination:0.96%
DAY: 68, GasOnDestination: 0.9315245478036179%, SatisfiedDestination:0.96%
DAY: 69, GasOnDestination: 0.9315245478036179%, SatisfiedDestination:0.96%
DAY: 70, GasOnDestination: 0.9315245478036179%, SatisfiedDestination:0.96%
DAY: 71, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 72, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 73, GasOnDestination: 0.989190353143842%, SatisfiedDestination:0.96%
DAY: 74, GasOnDestination: 0.989190353143842%, SatisfiedDestination:0.96%
DAY: 75, GasOnDestination: 0.9474677002583982%, SatisfiedDestination:0.96%
DAY: 76, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 77, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 78, GasOnDestination: 0.989190353143842%, SatisfiedDestination:0.96%
DAY: 79, GasOnDestination: 0.989190353143842%, SatisfiedDestination:0.96%
DAY: 80, GasOnDestination: 0.989190353143842%, SatisfiedDestination:0.96%
DAY: 81, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 82, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 83, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 84, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 85, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 86, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 87, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 88, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 89, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 90, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 91, GasOnDestination: 0.5684754521963823%, SatisfiedDestination:0.52%
DAY: 92, GasOnDestination: 0.5684754521963823%, SatisfiedDestination:0.52%
DAY: 93, GasOnDestination: 0.5684754521963823%, SatisfiedDestination:0.52%
DAY: 94, GasOnDestination: 0.5684754521963823%, SatisfiedDestination:0.52%
DAY: 95, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 96, GasOnDestination: 0.989190353143842%, SatisfiedDestination:0.96%
DAY: 97, GasOnDestination: 0.989190353143842%, SatisfiedDestination:0.96%
DAY: 98, GasOnDestination: 0.989190353143842%, SatisfiedDestination:0.96%
DAY: 99, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 100, GasOnDestination: 0.5684754521963823%, SatisfiedDestination:0.52%
DAY: 101, GasOnDestination: 0.5684754521963823%, SatisfiedDestination:0.52%
DAY: 102, GasOnDestination: 0.5652024117140401%, SatisfiedDestination:0.52%
DAY: 103, GasOnDestination: 0.5652024117140401%, SatisfiedDestination:0.52%
DAY: 104, GasOnDestination: 0.5652024117140401%, SatisfiedDestination:0.52%
DAY: 105, GasOnDestination: 0.5075366063738157%, SatisfiedDestination:0.52%
DAY: 106, GasOnDestination: 0.5075366063738157%, SatisfiedDestination:0.52%
DAY: 107, GasOnDestination: 0.9315245478036179%, SatisfiedDestination:0.96%
DAY: 108, GasOnDestination: 0.9315245478036179%, SatisfiedDestination:0.96%
DAY: 109, GasOnDestination: 0.9315245478036179%, SatisfiedDestination:0.96%
DAY: 110, GasOnDestination: 0.989190353143842%, SatisfiedDestination:0.96%
DAY: 111, GasOnDestination: 0.989190353143842%, SatisfiedDestination:0.96%
DAY: 112, GasOnDestination: 0.989190353143842%, SatisfiedDestination:0.96%
DAY: 113, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 114, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 115, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 116, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 117, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 118, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 119, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 120, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 121, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 122, GasOnDestination: 0.989190353143842%, SatisfiedDestination:0.96%
DAY: 123, GasOnDestination: 0.989190353143842%, SatisfiedDestination:0.96%
DAY: 124, GasOnDestination: 0.989190353143842%, SatisfiedDestination:0.96%
DAY: 125, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 126, GasOnDestination: 0.9282515073212751%, SatisfiedDestination:0.96%
DAY: 127, GasOnDestination: 0.9282515073212751%, SatisfiedDestination:0.96%
DAY: 128, GasOnDestination: 0.9282515073212751%, SatisfiedDestination:0.96%
DAY: 129, GasOnDestination: 0.9315245478036179%, SatisfiedDestination:0.96%
DAY: 130, GasOnDestination: 0.9315245478036179%, SatisfiedDestination:0.96%
DAY: 131, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 132, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 133, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 134, GasOnDestination: 0.9644702842377264%, SatisfiedDestination:0.92%
DAY: 135, GasOnDestination: 0.9644702842377264%, SatisfiedDestination:0.92%
DAY: 136, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 137, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 138, GasOnDestination: 0.5684754521963823%, SatisfiedDestination:0.52%
DAY: 139, GasOnDestination: 0.5684754521963823%, SatisfiedDestination:0.52%
DAY: 140, GasOnDestination: 0.5684754521963823%, SatisfiedDestination:0.52%
DAY: 141, GasOnDestination: 0.5652024117140401%, SatisfiedDestination:0.52%
DAY: 142, GasOnDestination: 0.989190353143842%, SatisfiedDestination:0.96%
DAY: 143, GasOnDestination: 0.989190353143842%, SatisfiedDestination:0.96%
DAY: 144, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 145, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 146, GasOnDestination: 0.5684754521963823%, SatisfiedDestination:0.52%
DAY: 147, GasOnDestination: 0.5684754521963823%, SatisfiedDestination:0.52%
DAY: 148, GasOnDestination: 0.5684754521963823%, SatisfiedDestination:0.52%
DAY: 149, GasOnDestination: 0.5684754521963823%, SatisfiedDestination:0.52%
DAY: 150, GasOnDestination: 0.8222997416020673%, SatisfiedDestination:0.92%
DAY: 151, GasOnDestination: 0.7809819121447028%, SatisfiedDestination:0.84%
DAY: 152, GasOnDestination: 0.7809819121447028%, SatisfiedDestination:0.84%
DAY: 153, GasOnDestination: 0.8327304048234285%, SatisfiedDestination:0.92%
DAY: 154, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 155, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 156, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 157, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 158, GasOnDestination: 0.989190353143842%, SatisfiedDestination:0.96%
DAY: 159, GasOnDestination: 0.9474677002583982%, SatisfiedDestination:0.96%
DAY: 160, GasOnDestination: 0.989190353143842%, SatisfiedDestination:0.96%
DAY: 161, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 162, GasOnDestination: 0.989190353143842%, SatisfiedDestination:0.96%
DAY: 163, GasOnDestination: 0.989190353143842%, SatisfiedDestination:0.96%
DAY: 164, GasOnDestination: 0.989190353143842%, SatisfiedDestination:0.96%
DAY: 165, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 166, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 167, GasOnDestination: 0.5684754521963823%, SatisfiedDestination:0.52%
DAY: 168, GasOnDestination: 0.5684754521963823%, SatisfiedDestination:0.52%
DAY: 169, GasOnDestination: 0.5684754521963823%, SatisfiedDestination:0.52%
DAY: 170, GasOnDestination: 0.5684754521963823%, SatisfiedDestination:0.52%
DAY: 171, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 172, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 173, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 174, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 175, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 176, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 177, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 178, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 179, GasOnDestination: 0.9315245478036179%, SatisfiedDestination:0.96%
DAY: 180, GasOnDestination: 0.9282515073212751%, SatisfiedDestination:0.96%
DAY: 181, GasOnDestination: 0.8865288544358317%, SatisfiedDestination:0.96%
DAY: 182, GasOnDestination: 0.4732127476313523%, SatisfiedDestination:0.48%
DAY: 183, GasOnDestination: 0.5075366063738157%, SatisfiedDestination:0.52%
DAY: 184, GasOnDestination: 0.5684754521963823%, SatisfiedDestination:0.52%
DAY: 185, GasOnDestination: 0.5684754521963823%, SatisfiedDestination:0.52%
DAY: 186, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 187, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 188, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 189, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 190, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 191, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 192, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 193, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 194, GasOnDestination: 0.989190353143842%, SatisfiedDestination:0.96%
DAY: 195, GasOnDestination: 0.9474677002583982%, SatisfiedDestination:0.96%
DAY: 196, GasOnDestination: 0.989190353143842%, SatisfiedDestination:0.96%
DAY: 197, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 198, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 199, GasOnDestination: 0.989190353143842%, SatisfiedDestination:0.96%
DAY: 200, GasOnDestination: 0.989190353143842%, SatisfiedDestination:0.96%
DAY: 201, GasOnDestination: 0.9282515073212751%, SatisfiedDestination:0.96%
DAY: 202, GasOnDestination: 0.9315245478036179%, SatisfiedDestination:0.96%
DAY: 203, GasOnDestination: 0.9315245478036179%, SatisfiedDestination:0.96%
DAY: 204, GasOnDestination: 0.5075366063738157%, SatisfiedDestination:0.52%
DAY: 205, GasOnDestination: 0.5075366063738157%, SatisfiedDestination:0.52%
DAY: 206, GasOnDestination: 0.5684754521963823%, SatisfiedDestination:0.52%
DAY: 207, GasOnDestination: 0.5684754521963823%, SatisfiedDestination:0.52%
DAY: 208, GasOnDestination: 0.9315245478036179%, SatisfiedDestination:0.96%
DAY: 209, GasOnDestination: 0.9315245478036179%, SatisfiedDestination:0.96%
DAY: 210, GasOnDestination: 0.9315245478036179%, SatisfiedDestination:0.96%
DAY: 211, GasOnDestination: 0.5598621877691644%, SatisfiedDestination:0.56%
DAY: 212, GasOnDestination: 0.02153316106804479%, SatisfiedDestination:0.04%
DAY: 213, GasOnDestination: 0.22006890611541774%, SatisfiedDestination:0.28%
DAY: 214, GasOnDestination: 0.22006890611541774%, SatisfiedDestination:0.28%
DAY: 215, GasOnDestination: 0.22006890611541774%, SatisfiedDestination:0.28%
DAY: 216, GasOnDestination: 0.7583979328165369%, SatisfiedDestination:0.76%
DAY: 217, GasOnDestination: 0.5684754521963823%, SatisfiedDestination:0.52%
DAY: 218, GasOnDestination: 0.5684754521963823%, SatisfiedDestination:0.52%
DAY: 219, GasOnDestination: 0.5075366063738157%, SatisfiedDestination:0.52%
DAY: 220, GasOnDestination: 0.5075366063738157%, SatisfiedDestination:0.52%
DAY: 221, GasOnDestination: 0.9315245478036179%, SatisfiedDestination:0.96%
DAY: 222, GasOnDestination: 0.9315245478036179%, SatisfiedDestination:0.96%
DAY: 223, GasOnDestination: 0.4732127476313523%, SatisfiedDestination:0.48%
DAY: 224, GasOnDestination: 0.5652024117140401%, SatisfiedDestination:0.52%
DAY: 225, GasOnDestination: 0.5652024117140401%, SatisfiedDestination:0.52%
DAY: 226, GasOnDestination: 0.5684754521963823%, SatisfiedDestination:0.52%
DAY: 227, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 228, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 229, GasOnDestination: 0.989190353143842%, SatisfiedDestination:0.96%
DAY: 230, GasOnDestination: 0.989190353143842%, SatisfiedDestination:0.96%
DAY: 231, GasOnDestination: 0.989190353143842%, SatisfiedDestination:0.96%
DAY: 232, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 233, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 234, GasOnDestination: 0.9315245478036179%, SatisfiedDestination:0.96%
DAY: 235, GasOnDestination: 0.9315245478036179%, SatisfiedDestination:0.96%
DAY: 236, GasOnDestination: 0.9282515073212751%, SatisfiedDestination:0.96%
DAY: 237, GasOnDestination: 0.9282515073212751%, SatisfiedDestination:0.96%
DAY: 238, GasOnDestination: 0.9282515073212751%, SatisfiedDestination:0.96%
DAY: 239, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 240, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 241, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 242, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 243, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 244, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 245, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 246, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 247, GasOnDestination: 0.989190353143842%, SatisfiedDestination:0.96%
DAY: 248, GasOnDestination: 0.9474677002583982%, SatisfiedDestination:0.96%
DAY: 249, GasOnDestination: 0.989190353143842%, SatisfiedDestination:0.96%
DAY: 250, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 251, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 252, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 253, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 254, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 255, GasOnDestination: 0.5684754521963823%, SatisfiedDestination:0.52%
DAY: 256, GasOnDestination: 0.5684754521963823%, SatisfiedDestination:0.52%
DAY: 257, GasOnDestination: 0.5684754521963823%, SatisfiedDestination:0.52%
DAY: 258, GasOnDestination: 0.5684754521963823%, SatisfiedDestination:0.52%
DAY: 259, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 260, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 261, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 262, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 263, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 264, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 265, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 266, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 267, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 268, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 269, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 270, GasOnDestination: 0.9315245478036179%, SatisfiedDestination:0.96%
DAY: 271, GasOnDestination: 0.9315245478036179%, SatisfiedDestination:0.96%
DAY: 272, GasOnDestination: 0.9282515073212751%, SatisfiedDestination:0.96%
DAY: 273, GasOnDestination: 0.4732127476313523%, SatisfiedDestination:0.48%
DAY: 274, GasOnDestination: 0.4732127476313523%, SatisfiedDestination:0.48%
DAY: 275, GasOnDestination: 0.5684754521963823%, SatisfiedDestination:0.52%
DAY: 276, GasOnDestination: 0.5684754521963823%, SatisfiedDestination:0.52%
DAY: 277, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 278, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 279, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 280, GasOnDestination: 0.9315245478036179%, SatisfiedDestination:0.96%
DAY: 281, GasOnDestination: 0.9315245478036179%, SatisfiedDestination:0.96%
DAY: 282, GasOnDestination: 0.9315245478036179%, SatisfiedDestination:0.96%
DAY: 283, GasOnDestination: 0.9315245478036179%, SatisfiedDestination:0.96%
DAY: 284, GasOnDestination: 0.9315245478036179%, SatisfiedDestination:0.96%
DAY: 285, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 286, GasOnDestination: 0.989190353143842%, SatisfiedDestination:0.96%
DAY: 287, GasOnDestination: 0.989190353143842%, SatisfiedDestination:0.96%
DAY: 288, GasOnDestination: 0.989190353143842%, SatisfiedDestination:0.96%
DAY: 289, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 290, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 291, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 292, GasOnDestination: 0.9315245478036179%, SatisfiedDestination:0.96%
DAY: 293, GasOnDestination: 0.9315245478036179%, SatisfiedDestination:0.96%
DAY: 294, GasOnDestination: 0.5075366063738157%, SatisfiedDestination:0.52%
DAY: 295, GasOnDestination: 0.5075366063738157%, SatisfiedDestination:0.52%
DAY: 296, GasOnDestination: 0.5075366063738157%, SatisfiedDestination:0.52%
DAY: 297, GasOnDestination: 0.5684754521963823%, SatisfiedDestination:0.52%
DAY: 298, GasOnDestination: 0.5684754521963823%, SatisfiedDestination:0.52%
DAY: 299, GasOnDestination: 0.5684754521963823%, SatisfiedDestination:0.52%
DAY: 300, GasOnDestination: 0.5684754521963823%, SatisfiedDestination:0.52%
DAY: 301, GasOnDestination: 0.5684754521963823%, SatisfiedDestination:0.52%
DAY: 302, GasOnDestination: 0.9315245478036179%, SatisfiedDestination:0.96%
DAY: 303, GasOnDestination: 0.9315245478036179%, SatisfiedDestination:0.96%
DAY: 304, GasOnDestination: 0.9315245478036179%, SatisfiedDestination:0.96%
DAY: 305, GasOnDestination: 0.9315245478036179%, SatisfiedDestination:0.96%
DAY: 306, GasOnDestination: 0.5075366063738157%, SatisfiedDestination:0.52%
DAY: 307, GasOnDestination: 0.5684754521963823%, SatisfiedDestination:0.52%
DAY: 308, GasOnDestination: 0.5684754521963823%, SatisfiedDestination:0.52%
DAY: 309, GasOnDestination: 0.5684754521963823%, SatisfiedDestination:0.52%
DAY: 310, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 311, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 312, GasOnDestination: 0.989190353143842%, SatisfiedDestination:0.96%
DAY: 313, GasOnDestination: 0.989190353143842%, SatisfiedDestination:0.96%
DAY: 314, GasOnDestination: 0.9474677002583982%, SatisfiedDestination:0.96%
DAY: 315, GasOnDestination: 0.9315245478036179%, SatisfiedDestination:0.96%
DAY: 316, GasOnDestination: 0.9315245478036179%, SatisfiedDestination:0.96%
DAY: 317, GasOnDestination: 0.9315245478036179%, SatisfiedDestination:0.96%
DAY: 318, GasOnDestination: 0.9315245478036179%, SatisfiedDestination:0.96%
DAY: 319, GasOnDestination: 0.9315245478036179%, SatisfiedDestination:0.96%
DAY: 320, GasOnDestination: 0.9315245478036179%, SatisfiedDestination:0.96%
DAY: 321, GasOnDestination: 0.9315245478036179%, SatisfiedDestination:0.96%
DAY: 322, GasOnDestination: 0.9315245478036179%, SatisfiedDestination:0.96%
DAY: 323, GasOnDestination: 0.9315245478036179%, SatisfiedDestination:0.96%
DAY: 324, GasOnDestination: 0.9315245478036179%, SatisfiedDestination:0.96%
DAY: 325, GasOnDestination: 0.9315245478036179%, SatisfiedDestination:0.96%
DAY: 326, GasOnDestination: 0.9315245478036179%, SatisfiedDestination:0.96%
DAY: 327, GasOnDestination: 0.9315245478036179%, SatisfiedDestination:0.96%
DAY: 328, GasOnDestination: 0.989190353143842%, SatisfiedDestination:0.96%
DAY: 329, GasOnDestination: 0.989190353143842%, SatisfiedDestination:0.96%
DAY: 330, GasOnDestination: 0.989190353143842%, SatisfiedDestination:0.96%
DAY: 331, GasOnDestination: 0.9315245478036179%, SatisfiedDestination:0.96%
DAY: 332, GasOnDestination: 0.9315245478036179%, SatisfiedDestination:0.96%
DAY: 333, GasOnDestination: 0.9315245478036179%, SatisfiedDestination:0.96%
DAY: 334, GasOnDestination: 0.9315245478036179%, SatisfiedDestination:0.96%
DAY: 335, GasOnDestination: 0.9315245478036179%, SatisfiedDestination:0.96%
DAY: 336, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 337, GasOnDestination: 0.989190353143842%, SatisfiedDestination:0.96%
DAY: 338, GasOnDestination: 0.989190353143842%, SatisfiedDestination:0.96%
DAY: 339, GasOnDestination: 0.989190353143842%, SatisfiedDestination:0.96%
DAY: 340, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
